drug,criterion,criterion_key,current_score,current_grade,audit_status,audit_problem,recommended_action,v6_destination
Caffeine,Getting hooked,add,15,P,estimand_mismatch,Use-disorder prevalence is not a transition probability from first use and is not directly comparable with NESARC estimates.,Use a comparable incidence/transition estimand or report missing.,modifier_use_disorder_probability
Caffeine,Danger in quitting,wd,5,M,construct_mismatch,"The source measures headache and functional impairment, not medical danger from cessation.",Move to withdrawal symptom burden; medical-hazard flag should be near the floor.,modifier_withdrawal_symptom_burden
Caffeine,Damage to your body,org,5,J,insufficient_for_quantitative_score,"The evidence is case-based, confounded, absent, or author-judged and does not supply a common chronic health-loss estimate.",Use outcome-specific longitudinal evidence and a defined user-year denominator; otherwise report missing or ordinal.,chronic_physical
Caffeine,Damage to others,oth,0,J,denominator_inconsistency,"The column mixes per-user externality, expert-panel judgment, annual population totals, violence, accidents, family harm, and public cost.",Choose either external harm per user-year or total region-year burden and apply it consistently; do not combine the two.,external_harm_per_user_year_or_population_burden
Caffeine,One bad night,ac,5,M,compound_construct,"The score combines intrinsic toxicity, psychiatric crisis, accidents, duration, route, setting, co-use, and supply uncertainty; cited safety ratios support only part of that construct.",Split medical and behavioral/psychiatric outcomes and define an episode denominator and context.,acute_medical_and_acute_behavioral_psychiatric
Psilocybin,Getting hooked,add,2,P,proxy_or_unsupported,"The cell relies on a class proxy, old category estimate, route inference, or author judgment rather than a drug-scenario-specific probability.","Define the scenario and exposure window, then search for a directly comparable use-disorder estimate; otherwise use an ordinal band or missing.",modifier_use_disorder_probability
Psilocybin,Danger in quitting,wd,0,J,unsupported_or_wrong_construct,"The cell measures symptom prevalence/severity, psychiatric risk, or author judgment rather than a common medical-hazard endpoint.",Move symptom burden and psychiatric risk to their own variables; use a conditional medical-hazard flag.,modifier_withdrawal_hazard_conditional_on_dependence
Psilocybin,Damage to your body,org,5,J,insufficient_for_quantitative_score,"The evidence is case-based, confounded, absent, or author-judged and does not supply a common chronic health-loss estimate.",Use outcome-specific longitudinal evidence and a defined user-year denominator; otherwise report missing or ordinal.,chronic_physical
Psilocybin,Damage to others,oth,2,J,denominator_inconsistency,"The column mixes per-user externality, expert-panel judgment, annual population totals, violence, accidents, family harm, and public cost.",Choose either external harm per user-year or total region-year burden and apply it consistently; do not combine the two.,external_harm_per_user_year_or_population_burden
Psilocybin,One bad night,ac,35,M,denominator_mismatch,"The 11% figure comes from people selected for their most difficult psilocybin experience, not all episodes or all users.",Keep as conditional evidence only; do not convert it to an episode-risk score.,acute_behavioral_psychiatric
