outcome_id,module,construct,operational_definition,denominator,time_window,preferred_unit,overlap_guard,causal_role,status
AE_MED_DEATH,one_episode,acute medical death,All-cause death attributable to the defined episode within the registered window,100000 defined episodes,scenario-specific,events and probability,Highest-severity mutually exclusive state,outcome,proposed
AE_MED_ICU,one_episode,acute critical medical event,ICU-level care or organ failure attributable to episode among survivors,100000 defined episodes,scenario-specific,events and probability,Exclude deaths and lower-severity events,outcome,proposed
AE_MED_HOSP,one_episode,acute severe medical event,Hospital or qualifying ED event attributable to episode among survivors without ICU-level event,100000 defined episodes,scenario-specific,events and probability,Exclude deaths and ICU-level events,outcome,proposed
AE_BEH_USER,one_episode,acute behavioral or psychiatric harm to user,Severe injury self-harm psychosis panic or dangerous disorientation attributable to episode,100000 defined episodes,scenario-specific,events and probability,Do not re-add medical consequences already counted,outcome,proposed
AE_BEH_VICTIM,one_episode,acute harm to other people,Severe victim injury or death attributable to episode,100000 defined episodes,scenario-specific,events victim events and DALYs,Separate from harm to user,outcome,proposed
CH_PHY,regular_use,chronic physical health loss,Attributable persistent physical morbidity and mortality under defined pattern,1000 user-years,pattern-specific,cases deaths and DALYs,Do not mix with acute episode endpoint unless declared annual burden,outcome,proposed
CH_PSY,regular_use,chronic psychiatric or cognitive health loss,Persistent psychiatric or cognitive morbidity beyond acute window,1000 user-years,pattern-specific,cases and DALYs,Exclude transient intoxication,outcome,proposed
SUD_INC,regular_use,substance use disorder incidence,New DSM or ICD disorder during fixed follow-up,1000 initiators or exposed people,predefined follow-up,cases and cumulative incidence,Separate from physical dependence,outcome_and_exposure_modifier,proposed
PHY_DEP,regular_use,physical dependence incidence,Physiologic adaptation under stated exposure pattern,1000 exposed people,pattern-specific,cases and cumulative incidence,Separate from compulsive use and withdrawal severity,modifier,proposed
WD_SEV,cessation,severe withdrawal medical outcome,Seizure delirium medically serious deterioration or death following cessation,1000 cessation attempts among physically dependent users,cessation-specific,events and probability,Conditional denominator required,outcome,proposed
EXT_USERYR,regular_use,external harm per user-year,Victim health loss family harm and other external outcomes attributable to use,1000 user-years,pattern-specific,victim events and DALYs,Public cost recorded separately,outcome,proposed
POP_BURDEN,population,total population burden,Attributable deaths DALYs victim outcomes and economic costs in named population-year,100000 residents and total,one calendar year,counts rates DALYs and currency,Never combine with per-user score,outcome,proposed
